Plot,Ind.,pct_brown,dead_limbs,total_limbs,char_ht_cm,ht2_cm,tree_id,pct_dead_limbs,water_trt,veg_trt,alive,dead,survival,probe_ht,avg_max_temp,avg_s_abv_100,avg_heat_flux100,Treatment,avg_dry_wt,avg_fuel_moisture,avg_fuel_ht_cm,avg_litter_depth_cm,avg_flameht_cm
17,B,10,1,12,144,605,39,8.333333333333334,Drought,Reference,1,0,1,25cm,584.3066666666667,105,32003.06333333333,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,B,10,1,12,144,605,39,8.333333333333334,Drought,Reference,1,0,1,0cm,537.958,154.66666666666666,41153.596666666665,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,D,10,0,10,115,496,40,0,Drought,Reference,1,0,1,50cm,347.9546666666667,95,18940.5,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,D,10,0,10,115,496,40,0,Drought,Reference,1,0,1,25cm,584.3066666666667,105,32003.06333333333,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,D,10,0,10,115,496,40,0,Drought,Reference,1,0,1,0cm,537.958,154.66666666666666,41153.596666666665,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,F,20,8,12,233,439,41,66.66666666666667,Drought,Reference,1,0,1,50cm,347.9546666666667,95,18940.5,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,F,20,8,12,233,439,41,66.66666666666667,Drought,Reference,1,0,1,25cm,584.3066666666667,105,32003.06333333333,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,F,20,8,12,233,439,41,66.66666666666667,Drought,Reference,1,0,1,0cm,537.958,154.66666666666666,41153.596666666665,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,J,15,4,10,154,436,42,40,Drought,Reference,1,0,1,50cm,347.9546666666667,95,18940.5,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,J,15,4,10,154,436,42,40,Drought,Reference,1,0,1,25cm,584.3066666666667,105,32003.06333333333,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,J,15,4,10,154,436,42,40,Drought,Reference,1,0,1,0cm,537.958,154.66666666666666,41153.596666666665,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,M,10,7,25,173,630,43,28,Drought,Reference,1,0,1,50cm,347.9546666666667,95,18940.5,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,M,10,7,25,173,630,43,28,Drought,Reference,1,0,1,25cm,584.3066666666667,105,32003.06333333333,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,M,10,7,25,173,630,43,28,Drought,Reference,1,0,1,0cm,537.958,154.66666666666666,41153.596666666665,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,P,15,3,10,108,434,44,30,Drought,Reference,1,0,1,50cm,347.9546666666667,95,18940.5,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
17,P,15,3,10,108,434,44,30,Drought,Reference,1,0,1,25cm,584.3066666666667,105,32003.06333333333,DN,57.00666666666667,12.295037002540003,10.11111111111111,5.444444444444445,68
